county_id,county,region,population_2024,internet_use_pct_2024,internet_use_pct_2019,mobile_coverage_4g_pct,electricity_access_pct,mobile_broadband_cost_gni_pct,poverty_rate_pct,education_index,mobile_ownership_pct,coverage_gap,affordability_gap,electricity_gap,skills_gap,ddi_score,typology,intervention_priority
45,West Pokot,Rift Valley,620000,9.1,4.8,26,11.9,8.1,78.0,0.2,58.3,0.169,0.81,0.881,0.8,0.665,infrastructure_gap,critical
44,Turkana,Rift Valley,1000000,12.7,7.1,28,8.8,7.8,76.0,0.22,69.1,0.153,0.78,0.912,0.78,0.6562,infrastructure_gap,critical
42,Mandera,North Eastern,870000,24.9,7.9,33,13.2,7.2,75.0,0.25,48.3,0.081,0.72,0.868,0.75,0.6048,infrastructure_gap,critical
41,Wajir,North Eastern,780000,24.2,8.4,35,14.6,6.8,72.0,0.28,50.8,0.108,0.68,0.854,0.72,0.5905,infrastructure_gap,critical
43,Marsabit,Eastern,450000,16.3,9.2,32,18.9,6.5,71.0,0.3,47.1,0.157,0.65,0.811,0.7,0.5795,infrastructure_gap,high
39,Tana River,Coast,360000,15.5,8.8,36,22.4,6.1,70.0,0.32,48.6,0.205,0.61,0.776,0.68,0.5678,infrastructure_gap,high
36,Samburu,Rift Valley,330000,18.9,10.8,42,24.8,5.5,67.0,0.36,53.4,0.231,0.55,0.752,0.64,0.5432,infrastructure_gap,high
40,Garissa,North Eastern,870000,16.5,9.3,44,29.8,5.3,65.0,0.37,55.2,0.275,0.53,0.702,0.63,0.5342,infrastructure_gap,high
37,Isiolo,Eastern,270000,18.5,10.5,46,28.3,5.1,64.0,0.39,56.8,0.275,0.51,0.717,0.61,0.528,infrastructure_gap,high
38,Lamu,Coast,150000,18.2,10.3,50,35.6,4.7,62.0,0.41,58.1,0.318,0.47,0.644,0.59,0.5055,infrastructure_gap,high
35,Baringo,Rift Valley,660000,20.1,11.8,51,34.7,4.6,60.0,0.43,58.2,0.309,0.46,0.653,0.57,0.498,infrastructure_gap,high
34,Elgeyo Marakwet,Rift Valley,460000,20.8,12.2,56,38.1,4.3,57.0,0.46,60.5,0.352,0.43,0.619,0.54,0.4852,infrastructure_gap,high
30,Kwale,Coast,870000,22.5,13.3,55,38.4,4.4,58.0,0.45,60.8,0.325,0.44,0.616,0.55,0.4828,infrastructure_gap,high
33,Busia,Western,900000,21.3,12.5,63,43.9,4.1,53.0,0.49,63.1,0.417,0.41,0.561,0.51,0.4745,infrastructure_gap,high
29,Kilifi,Coast,1500000,23.8,14.0,60,43.1,4.1,55.0,0.48,64.2,0.362,0.41,0.569,0.52,0.4652,infrastructure_gap,high
32,Nyamira,Nyanza,700000,21.8,12.8,65,45.3,3.9,51.0,0.51,64.7,0.432,0.39,0.547,0.49,0.4648,infrastructure_gap,high
28,Kitui,Eastern,1200000,24.2,14.3,58,41.5,4.2,54.0,0.49,63.4,0.338,0.42,0.585,0.51,0.4632,infrastructure_gap,high
24,Narok,Rift Valley,1200000,26.5,15.8,64,42.6,4.0,52.0,0.51,67.8,0.375,0.4,0.574,0.49,0.4598,infrastructure_gap,high
27,Migori,Nyanza,1200000,24.9,14.7,65,44.8,3.9,52.0,0.51,65.8,0.401,0.39,0.552,0.49,0.4582,infrastructure_gap,high
31,Vihiga,Western,600000,22.1,13.0,67,47.8,3.8,50.0,0.53,66.4,0.449,0.38,0.522,0.47,0.4552,infrastructure_gap,high
26,Homa Bay,Nyanza,1200000,25.3,15.0,66,46.2,3.8,51.0,0.52,67.1,0.407,0.38,0.538,0.48,0.4512,infrastructure_gap,high
25,Siaya,Nyanza,1000000,25.9,15.4,68,48.5,3.7,49.0,0.54,69.3,0.421,0.37,0.515,0.46,0.4415,infrastructure_gap,high
23,Bungoma,Western,1800000,27.1,16.1,71,50.1,3.5,47.0,0.56,70.2,0.439,0.35,0.499,0.44,0.432,covered_low_skills,medium
22,Kisii,Nyanza,1400000,27.8,16.5,72,52.3,3.5,46.0,0.57,71.4,0.442,0.35,0.477,0.43,0.4248,covered_low_skills,medium
21,Kakamega,Western,2000000,28.4,16.9,74,54.9,3.4,45.0,0.58,73.8,0.456,0.34,0.451,0.42,0.4168,covered_low_skills,medium
20,Bomet,Rift Valley,870000,28.9,17.2,73,56.8,3.3,43.0,0.59,72.3,0.441,0.33,0.432,0.41,0.4032,covered_low_skills,medium
19,Nandi,Rift Valley,890000,29.5,17.6,76,60.2,3.2,40.0,0.61,74.6,0.465,0.32,0.398,0.39,0.3932,covered_unaffordable,medium
47,Tharaka Nithi,Eastern,410000,27.3,16.2,78,62.8,3.1,37.0,0.65,74.8,0.507,0.31,0.372,0.35,0.3848,covered_unaffordable,medium
17,Kajiado,Rift Valley,1200000,30.9,18.5,78,63.5,3.1,36.0,0.62,82.4,0.471,0.31,0.365,0.38,0.3815,covered_unaffordable,medium
46,Makueni,Eastern,1000000,29.4,17.5,77,64.2,3.2,39.0,0.63,76.4,0.476,0.32,0.358,0.37,0.381,covered_unaffordable,medium
16,Trans Nzoia,Rift Valley,980000,31.4,18.9,80,65.8,3.0,38.0,0.64,77.2,0.486,0.3,0.342,0.36,0.372,covered_low_skills,medium
18,Meru,Eastern,1600000,30.1,18.0,81,70.1,2.9,33.0,0.65,78.9,0.509,0.29,0.299,0.35,0.362,peri_urban_connected,medium
13,Kisumu,Nyanza,1200000,34.8,20.9,86,68.9,2.8,38.0,0.67,80.4,0.512,0.28,0.311,0.33,0.3582,peri_urban_connected,medium
15,Kericho,Rift Valley,940000,32.8,19.7,82,71.3,2.9,34.0,0.66,79.5,0.492,0.29,0.287,0.34,0.3522,peri_urban_connected,medium
9,Taita-Taveta,Coast,360000,37.6,22.8,79,68.4,2.8,35.0,0.67,81.2,0.414,0.28,0.316,0.33,0.335,peri_urban_connected,medium
12,Embu,Eastern,620000,35.4,21.3,84,76.5,2.7,31.0,0.68,82.8,0.486,0.27,0.235,0.32,0.3278,peri_urban_connected,medium
8,Laikipia,Rift Valley,520000,38.0,23.1,83,72.1,2.7,33.0,0.69,83.7,0.45,0.27,0.279,0.31,0.3272,peri_urban_connected,medium
10,Machakos,Eastern,1300000,36.2,22.0,85,74.2,2.6,32.0,0.7,85.6,0.488,0.26,0.258,0.3,0.3265,peri_urban_connected,medium
14,Kirinyaga,Central,610000,33.7,20.1,85,80.2,2.6,27.0,0.7,83.1,0.513,0.26,0.198,0.3,0.3178,peri_urban_connected,medium
7,Nakuru,Rift Valley,2100000,40.1,25.9,90,79.8,2.5,31.0,0.71,87.3,0.499,0.25,0.202,0.29,0.3103,peri_urban_connected,medium
11,Murang'a,Central,1000000,35.9,21.7,87,81.1,2.5,29.0,0.71,84.3,0.511,0.25,0.189,0.29,0.31,peri_urban_connected,medium
5,Uasin Gishu,Rift Valley,1200000,42.1,27.3,91,78.5,2.4,30.0,0.73,88.4,0.489,0.24,0.215,0.27,0.3035,peri_urban_connected,medium
6,Nyandarua,Central,660000,41.6,26.8,88,82.4,2.4,28.0,0.72,86.1,0.464,0.24,0.176,0.28,0.29,peri_urban_connected,medium
4,Mombasa,Coast,1300000,46.9,31.0,97,91.2,2.1,25.0,0.75,96.7,0.501,0.21,0.088,0.25,0.2622,urban_connected,low
3,Nyeri,Central,770000,50.1,34.1,94,88.3,2.1,24.0,0.79,91.5,0.439,0.21,0.117,0.21,0.244,urban_connected,low
2,Kiambu,Central,2400000,54.0,38.2,96,91.9,2.1,22.0,0.81,94.2,0.42,0.21,0.081,0.19,0.2252,urban_connected,low
1,Nairobi,Central,4900000,64.7,46.5,99,96.7,1.8,17.0,0.89,98.8,0.343,0.18,0.033,0.11,0.1665,urban_connected,low
